ID,State,City,Year,Month,Carbon_Emissions(MT)
1,Alabama,Birmingham,2021,1,7772
2,Alabama,Birmingham,2021,2,7077
3,Alabama,Birmingham,2021,3,4555
4,Alabama,Birmingham,2021,4,1002
5,Alabama,Birmingham,2021,5,1544
6,Alabama,Birmingham,2021,6,9077
7,Alabama,Birmingham,2021,7,3557
8,Alabama,Birmingham,2021,8,8503
9,Alabama,Birmingham,2021,9,9766
10,Alabama,Birmingham,2021,10,2678
11,Alabama,Birmingham,2021,11,7541
12,Alabama,Birmingham,2021,12,9381
13,Alabama,Birmingham,2022,1,2952
14,Alabama,Birmingham,2022,2,5229
15,Alabama,Birmingham,2022,3,8807
16,Alabama,Birmingham,2022,4,1469
17,Alabama,Birmingham,2022,5,9700
18,Alabama,Birmingham,2022,6,7801
19,Alabama,Birmingham,2022,7,3861
20,Alabama,Birmingham,2022,8,9083
21,Alabama,Birmingham,2022,9,8562
22,Alabama,Birmingham,2022,10,9481
23,Alabama,Birmingham,2022,11,2006
24,Alabama,Birmingham,2022,12,9010
25,Alabama,Birmingham,2023,1,1881
26,Alabama,Birmingham,2023,2,1275
27,Alabama,Birmingham,2023,3,4183
28,Alabama,Birmingham,2023,4,7112
29,Alabama,Birmingham,2023,5,8750
30,Alabama,Birmingham,2023,6,5851
31,Alabama,Birmingham,2023,7,5615
32,Alabama,Birmingham,2023,8,2556
33,Alabama,Birmingham,2023,9,6771
34,Alabama,Birmingham,2023,10,1805
35,Alabama,Birmingham,2023,11,3704
36,Alabama,Birmingham,2023,12,7383
37,Alabama,Montgomery,2021,1,4551
38,Alabama,Montgomery,2021,2,8607
39,Alabama,Montgomery,2021,3,6303
40,Alabama,Montgomery,2021,4,5835
41,Alabama,Montgomery,2021,5,5277
42,Alabama,Montgomery,2021,6,4086
43,Alabama,Montgomery,2021,7,7679
44,Alabama,Montgomery,2021,8,8760
45,Alabama,Montgomery,2021,9,1285
46,Alabama,Montgomery,2021,10,4142
47,Alabama,Montgomery,2021,11,1084
48,Alabama,Montgomery,2021,12,8376
49,Alabama,Montgomery,2022,1,1560
50,Alabama,Montgomery,2022,2,2839
51,Alabama,Montgomery,2022,3,1278
52,Alabama,Montgomery,2022,4,5365
53,Alabama,Montgomery,2022,5,7294
54,Alabama,Montgomery,2022,6,4727
55,Alabama,Montgomery,2022,7,9929
56,Alabama,Montgomery,2022,8,9658
57,Alabama,Montgomery,2022,9,3148
58,Alabama,Montgomery,2022,10,2831
59,Alabama,Montgomery,2022,11,6395
60,Alabama,Montgomery,2022,12,1737
61,Alabama,Montgomery,2023,1,3972
62,Alabama,Montgomery,2023,2,7741
63,Alabama,Montgomery,2023,3,7878
64,Alabama,Montgomery,2023,4,5332
65,Alabama,Montgomery,2023,5,3941
66,Alabama,Montgomery,2023,6,5751
67,Alabama,Montgomery,2023,7,1064
68,Alabama,Montgomery,2023,8,9183
69,Alabama,Montgomery,2023,9,6293
70,Alabama,Montgomery,2023,10,3035
71,Alabama,Montgomery,2023,11,5572
72,Alabama,Montgomery,2023,12,2211
73,Alaska,Anchorage,2021,1,1304
74,Alaska,Anchorage,2021,2,3096
75,Alaska,Anchorage,2021,3,4576
76,Alaska,Anchorage,2021,4,7866
77,Alaska,Anchorage,2021,5,2844
78,Alaska,Anchorage,2021,6,4023
79,Alaska,Anchorage,2021,7,2499
80,Alaska,Anchorage,2021,8,7779
